gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,weekly_study_hours,absences,math_score,reading_score,writing_score
female,group B,high school,free/reduced,none,3.1,0,66,70,64
male,group C,high school,free/reduced,completed,1.1,3,73,78,56
male,group E,bachelor's degree,standard,completed,3.5,3,66,91,99
male,group D,high school,standard,none,7.8,2,68,74,59
female,group D,high school,standard,none,6.2,0,77,89,70
female,group D,associate's degree,free/reduced,none,5.8,2,95,67,66
female,group D,high school,free/reduced,none,3.8,4,54,73,86
male,group D,associate's degree,standard,none,2.1,0,89,86,85
male,group B,some high school,free/reduced,completed,6.1,4,92,84,86
male,group C,high school,standard,none,2.7,3,63,67,62
female,group B,some high school,standard,none,16.6,2,90,92,100
male,group E,some high school,standard,none,6.3,3,63,58,74
male,group E,bachelor's degree,standard,completed,3.2,0,79,85,90
female,group A,some high school,standard,none,3.1,3,51,57,68
female,group D,some college,standard,completed,4.2,5,76,72,78
female,group E,high school,standard,none,3.9,1,85,61,69
female,group B,high school,free/reduced,completed,8.8,6,73,77,78
male,group C,bachelor's degree,standard,completed,5.0,6,76,80,85
female,group E,some high school,standard,none,2.9,0,50,72,72
female,group A,some college,free/reduced,none,13.9,6,86,79,83
male,group D,master's degree,standard,none,4.6,6,74,83,86
female,group C,some college,standard,none,7.1,4,76,76,50
female,group E,bachelor's degree,free/reduced,completed,3.1,2,73,70,81
female,group E,some high school,standard,completed,5.6,3,75,82,86
female,group E,high school,standard,completed,5.4,5,83,97,89
male,group C,high school,standard,completed,1.4,0,72,77,72
female,group E,associate's degree,free/reduced,none,15.0,1,93,89,93
female,group D,master's degree,standard,none,9.7,3,88,74,96
male,group C,high school,free/reduced,completed,3.5,4,79,68,82
female,group D,some college,standard,none,2.3,4,73,70,64
male,group A,high school,standard,completed,5.5,5,78,75,79
female,group C,some college,standard,none,4.7,4,86,58,87
female,group B,high school,free/reduced,none,5.5,1,72,63,50
male,group B,master's degree,standard,completed,5.0,4,95,97,77
male,group A,some college,standard,none,6.1,2,79,88,87
male,group D,high school,standard,completed,10.7,4,69,81,98
female,group C,some high school,standard,completed,6.3,2,94,89,86
female,group D,some high school,free/reduced,completed,2.4,3,68,58,64
male,group A,high school,standard,completed,10.2,2,87,100,81
female,group C,high school,standard,none,12.0,4,87,88,79
female,group C,bachelor's degree,standard,completed,20.0,3,100,100,100
female,group D,some college,free/reduced,none,2.3,0,66,51,59
female,group C,some college,standard,none,5.2,0,69,83,77
male,group D,some high school,standard,none,1.3,6,70,59,51
female,group E,bachelor's degree,free/reduced,none,6.2,2,72,83,82
